Catalyst	Product	TS	PCM-B97D_E	PCM-B97D_H	PCM-B97D_G	PCM-B97D_qG	SMD-B97D  	 SMD-M06-2X  	 PCM-M06-2X  	PCM-wB97XD 	B97D
4d	R	BP2'	-3092.312514	-3091.581206	-3091.659727	-3091.654496	-3092.351860	-3092.133614	-3092.092113	-3092.996055	-3092.245375
4d	R	BP3'	-3092.318503	-3091.587658	-3091.666088	-3091.661009	-3092.355901	-3092.138885	-3092.099194	-3093.003572	-3092.248172
4d	R	BP4'	-3092.297989	-3091.567171	-3091.646471	-3091.641085	-3092.338381	-3092.119138	-3092.076190	-3092.980767	-3092.226845
4d	R	BP5'	-3092.310223	-3091.579512	-3091.659032	-3091.653473	-3092.348928	-3092.130858	-3092.089878	-3092.995255	-3092.242699
4d	S	BP1	-3092.312588	-3091.581714	-3091.660852	-3091.655394	-3092.351068	-3092.135501	-3092.094585	-3092.996997	-3092.251371
4d	S	BP2	-3092.310028	-3091.578610	-3091.656132	-3091.651455	-3092.347996	-3092.131336	-3092.091234	-3092.993595	-3092.243596
4d	S	BP3	-3092.318738	-3091.588176	-3091.666816	-3091.661585	-3092.356479	-3092.141621	-3092.101756	-3093.004224	-3092.254141
4d	S	BP4	-3092.310726	-3091.579685	-3091.658681	-3091.653428	-3092.349134	-3092.130668	-3092.090059	-3092.995323	-3092.242592
4d	S	BP5	-3092.308718	-3091.578038	-3091.656806	-3091.651668	-3092.347904	-3092.130729	-3092.089188	-3092.993489	-3092.239224
4d	S	BP1'	-3092.314244	-3091.583911	-3091.663576	-3091.657896	-3092.352086	-3092.137595	-3092.097512	-3093.000331	-3092.255411
4d	S	BP2'	-3092.298341	-3091.567847	-3091.647284	-3091.641641	-3092.337028	-3092.121909	-3092.080879	-3092.983689	-3092.228913
4d	S	BP3'	-3092.319661	-3091.588690	-3091.667178	-3091.662064	-3092.357093	-3092.140822	-3092.101184	-3093.005697	-3092.253317
4d	S	BP4'	-3092.299805	-3091.569216	-3091.647560	-3091.642455	-3092.338187	-3092.122757	-3092.082055	-3092.985130	-3092.232499
4d	S	BP5'	-3092.304531	-3091.574223	-3091.653629	-3091.648235	-3092.342261	-3092.125879	-3092.085972	-3092.990090	-3092.235814
4e	R	BP1	-3092.311553	-3091.581060	-3091.660176	-3091.654730	-3092.349470	-3092.134382	-3092.094311	-3092.996983	-3092.251164
4e	R	BP2	-3092.322000	-3091.591573	-3091.670351	-3091.665073	-3092.359550	-3092.145215	-3092.105368	-3093.008211	-3092.256573
4e	R	BP3	-3092.307136	-3091.576741	-3091.656494	-3091.650708	-3092.345739	-3092.130898	-3092.089933	-3092.991777	-3092.241385
4e	R	BP4	-3092.314186	-3091.583582	-3091.663032	-3091.657495	-3092.352609	-3092.136174	-3092.095610	-3093.000237	-3092.243714
4e	R	BP5	-3092.312433	-3091.581796	-3091.661181	-3091.655578	-3092.351895	-3092.135703	-3092.094091	-3092.998205	-3092.245561
4e	R	BP1'	-3092.317701	-3091.587376	-3091.667165	-3091.661374	-3092.355443	-3092.142169	-3092.102245	-3093.004197	-3092.257433
4e	R	BP2'	-3092.322685	-3091.591997	-3091.670346	-3091.665248	-3092.360193	-3092.146375	-3092.106806	-3093.009279	-3092.255437
4e	R	BP3'	-3092.313789	-3091.582915	-3091.661377	-3091.656268	-3092.351580	-3092.135790	-3092.095908	-3092.998323	-3092.245713
4e	R	BP4'	-3092.310965	-3091.580057	-3091.658755	-3091.653565	-3092.350163	-3092.132935	-3092.091385	-3092.996069	-3092.237805
4e	R	BP5'	-3092.314485	-3091.583970	-3091.662891	-3091.657649	-3092.352557	-3092.135809	-3092.095633	-3093.000693	-3092.246470
4e	S	BP1	-3092.318276	-3091.587989	-3091.667285	-3091.661725	-3092.356380	-3092.144226	-3092.103680	-3093.005529	-3092.257523
4e	S	BP2	-3092.321487	-3091.591013	-3091.669616	-3091.664461	-3092.359032	-3092.144551	-3092.104732	-3093.008146	-3092.251730
4e	S	BP3	-3092.316660	-3091.586087	-3091.664877	-3091.659499	-3092.355165	-3092.139714	-3092.099120	-3093.002024	-3092.251872
4e	S	BP4	-3092.314215	-3091.583514	-3091.662054	-3091.656926	-3092.352418	-3092.135614	-3092.095203	-3092.999699	-3092.247407
4e	S	BP5	-3092.298096	-3091.567674	-3091.648391	-3091.642470	-3092.336693	-3092.117028	-3092.076242	-3092.980916	-3092.225755
4e	S	BP1'	-3092.316778	-3091.586320	-3091.666317	-3091.660408	-3092.354916	-3092.141955	-3092.101600	-3093.003280	-3092.256448
4e	S	BP2'	-3092.321182	NA	NA	NA	NA	NA	NA	NA	NA
4e	S	BP3'	-3092.321050	-3091.590222	-3091.668712	-3091.663504	-3092.358333	-3092.141256	-3092.102097	-3093.005855	-3092.255340
4e	S	BP4'	-3092.306889	-3091.576437	-3091.656018	-3091.650355	-3092.345748	-3092.127846	-3092.086707	-3092.991229	-3092.239154
4e	S	BP5'	-3092.310034	-3091.579541	-3091.659257	-3091.653665	-3092.348938	-3092.129520	-3092.088563	-3092.994073	-3092.238019
5a	R	BP1	-2858.690915	-2858.110569	-2858.163657	-2858.158448	-2858.730617	-2858.546671	-2858.501956	-2859.270520	-2858.636183
5a	R	BP2	-2858.698724	-2858.118273	-2858.171613	-2858.168483	-2858.740397	-2858.557605	-2858.513462	-2859.281891	-2858.639129
5a	R	BP3	-2858.685562	-2858.105395	-2858.159070	-2858.161555	-2858.734121	-2858.547884	-2858.503798	-2859.274322	-2858.625276
5a	R	BP4	-2858.690322	-2858.109808	-2858.162912	-2858.165826	-2858.737431	-2858.554955	-2858.510592	-2859.278056	-2858.626466
5a	R	BP5	-2858.688324	-2858.108069	-2858.161593	-2858.159677	-2858.732800	-2858.547538	-2858.503778	-2859.272151	-2858.628587
5a	R	BP1'	-2858.695494	-2858.115359	-2858.169088	-2858.155830	-2858.727788	-2858.544144	-2858.499420	-2859.266822	-2858.640810
5a	R	BP2'	-2858.700886	-2858.120411	-2858.172487	-2858.160686	-2858.732384	-2858.548376	-2858.504525	-2859.272882	-2858.642381
5a	R	BP3'	-2858.691347	-2858.110255	-2858.162113	-2858.169976	-2858.741427	-2858.558714	-2858.515872	-2859.283643	-2858.630087
5a	R	BP4'	-2858.687418	-2858.107029	-2858.159983	-2858.157098	-2858.730140	-2858.545138	-2858.499919	-2859.268654	-2858.624435
5a	R	BP5'	-2858.692447	-2858.111660	-2858.164366	-2858.159992	-2858.732355	-2858.546351	-2858.501962	-2859.272475	-2858.631768
5a	S	BP1	-2858.697870	-2858.117507	-2858.170162	-2858.167368	-2858.739254	-2858.557608	-2858.513625	-2859.281316	-2858.643512
5a	S	BP2	-2858.696806	-2858.116518	-2858.169728	-2858.166664	-2858.738914	-2858.555896	-2858.511319	-2859.279939	-2858.633699
5a	S	BP3	-2858.693724	-2858.113225	-2858.166274	-2858.163302	-2858.735434	-2858.551326	-2858.507180	-2859.275494	-2858.634675
5a	S	BP4	-2858.691569	-2858.111102	-2858.164123	-2858.161201	-2858.733578	-2858.547758	-2858.503292	-2859.273481	-2858.630493
5a	S	BP5	-2858.683266	-2858.102984	-2858.156537	-2858.153374	-2858.726303	-2858.540219	-2858.494624	-2859.263861	-2858.620356
5a	S	BP1'	-2858.694938	-2858.114614	-2858.168177	-2858.165008	-2858.737079	-2858.555009	-2858.510426	-2859.277683	-2858.640376
5a	S	BP2'	-2858.698188	-2858.117553	-2858.169309	-2858.166939	-2858.738902	-2858.554347	-2858.511204	-2859.279974	-2858.635782
5a	S	BP3'	-2858.699570	-2858.118307	-2858.170190	-2858.167670	-2858.740383	-2858.553841	-2858.510842	-2859.280847	-2858.640125
5a	S	BP4'	-2858.690197	-2858.109796	-2858.163051	-2858.159994	-2858.732705	-2858.548113	-2858.503141	-2859.271578	-2858.630684
5a	S	BP5'	-2858.686818	-2858.106309	-2858.159166	-2858.156376	-2858.729160	-2858.539748	-2858.495056	-2859.266557	-2858.622499
5b	R	BP1	-2667.048564	-2666.521065	-2666.569992	-2666.567862	-2667.086300	-2666.885609	-2666.845753	-2667.551981	-2666.993089
5b	R	BP2	-2667.051799	-2666.524391	-2666.573562	-2666.571317	-2667.089386	-2666.888403	-2666.848672	-2667.555639	-2666.991202
5b	R	BP3	-2667.040633	-2666.513395	-2666.562631	-2666.560415	-2667.078634	-2666.876380	-2666.836182	-2667.542526	-2666.979430
5b	R	BP4	-2667.041935	-2666.514248	-2666.563325	-2666.561094	-2667.080695	-2666.876300	-2666.835355	-2667.543833	-2666.976348
5b	R	BP5	-2667.043145	-2666.515711	-2666.564890	-2666.562676	-2667.081312	-2666.878736	-2666.838457	-2667.546082	-2666.982328
5b	R	BP1'	-2667.047088	-2666.519479	-2666.568238	-2666.566093	-2667.085129	-2666.883969	-2666.843808	-2667.550409	-2666.991059
5b	R	BP2'	-2667.052560	-2666.525129	-2666.573685	-2666.571749	-2667.089637	-2666.887915	-2666.848659	-2667.555938	-2666.992468
5b	R	BP3'	-2667.037083	-2666.509551	-2666.559043	-2666.556658	-2667.075804	-2666.872728	-2666.831798	-2667.539043	-2666.974229
5b	R	BP4'	-2667.041898	-2666.514570	-2666.564066	-2666.561782	-2667.080360	-2666.876947	-2666.836346	-2667.544206	-2666.977350
5b	R	BP5'	-2667.043250	-2666.515569	-2666.564111	-2666.562146	-2667.082177	-2666.878613	-2666.837610	-2667.545747	-2666.981075
5b	S	BP1	-2667.048051	-2666.520549	-2666.569569	-2666.567380	-2667.086271	-2666.885511	-2666.845165	-2667.551522	-2666.992243
5b	S	BP2	-2667.049819	-2666.522477	-2666.571936	-2666.569564	-2667.087781	-2666.886082	-2666.845968	-2667.553231	-2666.985352
5b	S	BP3	-2667.048819	-2666.521186	-2666.570020	-2666.567925	-2667.086148	-2666.883411	-2666.843988	-2667.551012	-2666.988869
5b	S	BP4	-2667.044951	-2666.517484	-2666.566639	-2666.564420	-2667.083343	-2666.880293	-2666.839759	-2667.547753	-2666.983370
5b	S	BP5	-2667.038220	-2666.510660	-2666.559597	-2666.557488	-2667.077032	-2666.872132	-2666.831068	-2667.539506	-2666.974360
5b	S	BP1'	-2667.047584	-2666.520313	-2666.569527	-2666.567207	-2667.085820	-2666.885280	-2666.844958	-2667.551239	-2666.991603
5b	S	BP2'	-2667.051238	-2666.523516	-2666.571827	-2666.569920	-2667.087562	-2666.885271	-2666.846855	-2667.554069	-2666.987575
5b	S	BP3'	-2667.048694	-2666.520790	-2666.568950	-2666.567061	-2667.087127	-2666.883480	-2666.843010	-2667.550925	-2666.987807
5b	S	BP4'	-2667.043801	-2666.516085	-2666.564904	-2666.562810	-2667.082143	-2666.878749	-2666.838275	-2667.546123	-2666.982546
5b	S	BP5'	-2667.032874	-2666.504912	-2666.553757	-2666.551635	-2667.071910	-2666.863811	-2666.822556	-2667.532243	-2666.967059
5c	R	BP1	-2858.922770	-2858.326378	-2858.380588	-2858.377188	-2858.963352	-2858.752609	-2858.709915	-2859.500860	-2858.867538
5c	R	BP2	-2858.923918	-2858.326736	-2858.379346	-2858.376686	-2858.963466	-2858.750530	-2858.708903	-2859.500911	-2858.865463
5c	R	BP3	-2858.925722	-2858.328720	-2858.382227	-2858.379146	-2858.966097	-2858.753938	-2858.711358	-2859.502648	-2858.862406
5c	R	BP4	-2858.913723	-2858.317065	-2858.370417	-2858.367501	-2858.954466	-2858.739400	-2858.696441	-2859.489898	-2858.851807
5c	R	BP5	-2858.922423	-2858.325669	-2858.378267	-2858.375648	-2858.962515	-2858.749657	-2858.707504	-2859.500226	-2858.862221
5c	R	BP1'	-2858.924331	-2858.327515	-2858.380190	-2858.377495	-2858.964285	-2858.752706	-2858.710619	-2859.502147	-2858.869066
5c	R	BP2'	-2858.922537	-2858.325297	-2858.377137	-2858.374835	-2858.963118	-2858.746012	-2858.703308	-2859.498444	-2858.861723
5c	R	BP3'	-2858.928093	-2858.330607	-2858.381789	-2858.379708	-2858.966241	-2858.752757	-2858.712481	-2859.505293	-2858.864755
5c	R	BP4'	-2858.907930	-2858.311076	-2858.364850	-2858.361659	-2858.950010	-2858.731755	-2858.687257	-2859.482150	-2858.842867
5c	R	BP5'	-2858.918798	-2858.321923	-2858.375070	-2858.372193	-2858.959532	-2858.745741	-2858.702884	-2859.495992	-2858.858417
